SiteID,SiteName,Region,AnalysisEndDate,SamplingDate,Month,Year,SoilType,Crop,CropID,Growth Stage,SoilLayer,Layer depth (cm),Bulk density,pH,Total Nitrogen,Total Carbon,OrganicMatter,Carbon-Nitrogen ratio,Potentially Available N,AmmoniacalN,NitrateN,MineralN,Mineral N (kg/ha),Mineral N + PAN (kg/ha),Total Hot water N (kg/ha),Hot water N INORGANIC (kg/ha),Hot water N organic(kg/ha),Hot WaterN,HotWaterSolubleInorganicN,HotWaterSolubleOrganicN,OlsenP,CalciumQT,MagnesiumQT,PotassiumQT,SodiumQT,Note,Lab,HWN to kgN for Mineralisable calc,,,,,,,,,,,,
9,Oakley,Canterbury,09/12/2020,27/11/2020,11,2020,Sedimentary,Pumpkin,9Pum-A,Growth,0 - 15 cm,15,1.05,,0.3%,3.0%,5.1%,11,110,1,29,31,49,159,212,91,121,135,58,77,,,,,,,Eurofins,141.0782811,,,,,,,,,,,,
9,Oakley,Canterbury,09/12/2020,27/11/2020,11,2020,Sedimentary,Pumpkin,9Pum-A,Growth,15 - 30 cm,15,1.38,,0.2%,2.4%,4.1%,11,59,1,12,14,29,88,160,68,87,77,33,42,,,,,,,Eurofins,106.485427,,,,,,,,,,,,
9,Oakley,Canterbury,09/12/2020,27/11/2020,11,2020,Sedimentary,Pumpkin,9Pum-A,Growth,30 - 60 cm,30,1.05,,,,,,,1,6,7,22,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,09/12/2020,27/11/2020,11,2020,Sedimentary,Pumpkin,9Pum-A,Growth,60 - 90 cm,30,1.05,,,,,,,1,5,6,19,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Potato,5Pot-A,Growth,0 - 15 cm,15,0.99,6.7,0.3%,3.1%,5.4%,11,47,2,35,37,55,102,143,83,58,96,56,39,114,16,32,29,5,,Eurofins,95.02238186,,,,,,,,,,,,
5,Pescini,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Potato,5Pot-A,Growth,15 - 30 cm,15,1.12,6.7,0.3%,3.0%,5.2%,11,40,4,59,63,106,146,175,130,45,104,77,27,86,16,31,22,5,,Eurofins,116.6968448,,,,,,,,,,,,
5,Pescini,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Potato,5Pot-A,Growth,30 - 60 cm,30,1.15,,,,,,,2,22,25,86,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
5,Pescini,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Potato,5Pot-A,Growth,60 - 90 cm,30,1.42,,,,,,,2,6,8,34,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Maize,6Maize-A,Growth,0 - 15 cm,15,1.43,7.4,0.2%,2.1%,3.6%,10,38,2,4,6,12.9,51,124,32,90,58,15,42,147,17,38,21,5,,Eurofins,82.91838573,,,,,,,,,,,,
6,Woodhaven,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Maize,6Maize-A,Growth,15 - 30 cm,15,1.51,7.4,0.2%,2.0%,3.4%,9,33,2,6,8,18.1,51,106,27,77,47,12,34,136,20,44,14,6,,Eurofins,70.88757766,,,,,,,,,,,,
6,Woodhaven,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Maize,6Maize-A,Growth,30 - 60 cm,30,1.45,,,,,,,3,4,7,30,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
6,Woodhaven,Levin,17/12/2020,04/12/2020,12,2020,Sedimentary,Maize,6Maize-A,Growth,60 - 90 cm,30,1.43,,,,,,,3,4,7,30,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,07/01/2021,15/12/2020,12,2020,Volcanic,Barley,2Bar-A,Growth,0 - 15 cm,15,1.06,6.5,0.2%,1.8%,3.1%,9,23,1,2,3,5,28,32,17,13,20,11,8,182,17,43,34,9,,Eurofins,21.15546519,,,,,,,,,,,,
2,Jivans,Pukekohe,07/01/2021,15/12/2020,12,2020,Volcanic,Barley,2Bar-A,Growth,15 - 30 cm,15,0.76,6.7,0.2%,1.7%,2.9%,8,18,1,2,3,3,21,24,14,10,21,12,9,168,17,41,31,10,,Eurofins,16.03362826,,,,,,,,,,,,
2,Jivans,Pukekohe,07/01/2021,15/12/2020,12,2020,Volcanic,Barley,2Bar-A,Growth,30 - 60 cm,30,0.92,,,,,,,2,0,2,6,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,31/12/2020,15/12/2020,12,2020,Volcanic,Mustard,3Must-A,Pre-harvest,0 - 15 cm,15,0.99,6.2,0.2%,2.3%,4.0%,10,40,2,7,9,13,53,62,30,33,42,20,22,77,13,33,22,7,,Eurofins,41.66219243,,,,,,,,,,,,
3,Bhana,Tuakau,31/12/2020,15/12/2020,12,2020,Volcanic,Mustard,3Must-A,Pre-harvest,15 - 30 cm,15,0.87,6.4,0.2%,2.0%,3.5%,11,25,1,5,6,8,33,29,17,12,22,13,9,66,14,30,13,9,,Eurofins,19.07274739,,,,,,,,,,,,
3,Bhana,Tuakau,31/12/2020,15/12/2020,12,2020,Volcanic,Mustard,3Must-A,Pre-harvest,30 - 60 cm,30,0.92,,,,,,,1,2,3,8,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
3,Bhana,Tuakau,31/12/2020,15/12/2020,12,2020,Volcanic,Mustard,3Must-A,Pre-harvest,60 - 90 cm,30,0.83,,,,,,,3,3,6,15,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,31/12/2020,15/12/2020,12,2020,Sedimentary,Potato,4Pot-A,Growth,0 - 15 cm,15,0.55,6.3,0.5%,4.7%,8.1%,10,74,1,33,35,29,103,103,46,57,125,56,69,52,12,23,15,5,,Eurofins,68.43068109,,,,,,,,,,,,
4,Balles,Matamata,31/12/2020,15/12/2020,12,2020,Sedimentary,Potato,4Pot-A,Growth,15 - 30 cm,15,0.67,6.3,0.4%,4.1%,7.1%,10,42,1,23,24,24,66,80,43,37,80,43,37,29,11,20,8,9,,Eurofins,53.53411805,,,,,,,,,,,,
4,Balles,Matamata,31/12/2020,15/12/2020,12,2020,Sedimentary,Potato,4Pot-A,Growth,30 - 60 cm,30,0.81,,,,,,,2,7,9,22,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
4,Balles,Matamata,31/12/2020,15/12/2020,12,2020,Sedimentary,Potato,4Pot-A,Growth,60 - 90 cm,30,0.81,,,,,,,1,5,7,17,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,09/01/2020,18/12/2020,12,2020,Sedimentary,Potato,8Pot-A,Growth,0 - 15 cm,15,0.98,5.6,0.2%,2.2%,3.8%,11,103,1,58,59,87,190,237,102,134,161,69,91,49,13,32,17,9,,Eurofins,158.2086248,,,,,,,,,,,,
8,Lovett,Canterbury,09/01/2020,18/12/2020,12,2020,Sedimentary,Potato,8Pot-A,Growth,15 - 30 cm,15,1.16,5.6,0.2%,2.0%,3.4%,12,84,1,31,32,56,140,223,73,148,128,42,85,39,13,31,10,8,,Eurofins,148.5592304,,,,,,,,,,,,
8,Lovett,Canterbury,09/01/2020,18/12/2020,12,2020,Sedimentary,Potato,8Pot-A,Growth,30 - 60 cm,30,1.47,,,,,,,1,9,11,48,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
8,Lovett,Canterbury,09/01/2020,18/12/2020,12,2020,Sedimentary,Potato,8Pot-A,Growth,60 - 90 cm,30,1.48,,,,,,,1,6,7,31,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
1,Wilcox,Pukekawa,08/01/2021,21/12/2020,12,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,0 - 15 cm,15,0.86,6.2,0.2%,1.9%,3.4%,12,22,1,0,1,1.29,23,54,16,39,42,12,30,132,13,17,23,7,,Eurofins,36.21145934,,,,,,,,,,,,
1,Wilcox,Pukekawa,08/01/2021,21/12/2020,12,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,15 - 30 cm,15,0.68,5.8,0.2%,1.8%,3.1%,11,19,1,0,1,1.02,20,35,8,26,34,8,26,98,12,18,15,7,,Eurofins,23.08685315,,,,,,,,,,,,
1,Wilcox,Pukekawa,08/01/2021,21/12/2020,12,2020,Volcanic,Ryegrass,1Rye-Ab,Growth,30 - 60 cm,30,0.91,,,,,,,3,0,3,8,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,27/01/2021,06/01/2021,1,2021,Sedimentary,Squash,7BS-A,Growth,0 - 15 cm,15,1.03,5.6,0.2%,2.1%,3.6%,11,43,1,36,38,59,102,170,76,94,110,49,61,31,15,46,13,4,,Eurofins,113.2855728,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,27/01/2021,06/01/2021,1,2021,Sedimentary,Squash,7BS-A,Growth,15 - 30 cm,15,1.05,6,0.2%,1.6%,2.7%,9,19,1,38,39,61,80,83,46,38,53,29,24,11,16,48,5,8,,Eurofins,55.55403767,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,27/01/2021,06/01/2021,1,2021,Sedimentary,Squash,7BS-A,Growth,30 - 60 cm,30,1.05,,,,,,,1,40,42,132,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
7,Brownrigg,Hawkes Bay,27/01/2021,06/01/2021,1,2021,Sedimentary,Squash,7BS-A,Growth,60 - 90 cm,30,1.05,,,,,,,1,35,36,113,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
9,Oakley,Canterbury,27/01/2021,07/01/2021,1,2021,Sedimentary,Pumpkin,9Pum-A,Growth,0 - 15 cm,15,1.05,5.7,0.3%,3.2%,5.6%,12,112,1,71,72,113,225,295,122,172,188,78,110,29,10,19,16,4,,Eurofins,196.4645692,,,,,,,,,,,,
9,Oakley,Canterbury,27/01/2021,07/01/2021,1,2021,Sedimentary,Pumpkin,9Pum-A,Growth,15 - 30 cm,15,1.38,5.4,0.2%,1.7%,2.9%,10,64,1,59,61,127,191,180,97,83,87,47,40,14,7,16,6,5,,Eurofins,120.3147032,,,,,,,,,,,,
9,Oakley,Canterbury,27/01/2021,07/01/2021,1,2021,Sedimentary,Pumpkin,9Pum-A,Growth,30 - 60 cm,30,1.05,,,,,,,1,25,26,82,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,27/01/2021,12/01/2021,1,2021,Volcanic,Barley,2Bar-A,Pre-harvest,0 - 15 cm,15,1.06,6.8,0.2%,1.8%,3.2%,10,23,2,3,4,6,29,71,22,49,45,14,31,188,14,41,34,8,,Eurofins,47.59979667,,,,,,,,,,,,
2,Jivans,Pukekohe,27/01/2021,12/01/2021,1,2021,Volcanic,Barley,2Bar-A,Pre-harvest,15 - 30 cm,15,0.76,6.7,0.2%,1.8%,3.1%,10,17,1,3,4,5,22,49,16,33,43,14,29,196,14,38,31,8,,Eurofins,32.83076263,,,,,,,,,,,,
2,Jivans,Pukekohe,27/01/2021,12/01/2021,1,2021,Volcanic,Barley,2Bar-A,Pre-harvest,30 - 60 cm,30,0.92,,,,,,,2,3,5,14,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
2,Jivans,Pukekohe,27/01/2021,12/01/2021,1,2021,Volcanic,Barley,2Bar-A,Pre-harvest,60 - 90 cm,30,0.88,,,,,,,4,3,6,16,,0,0,0,,,,,,,,,,Eurofins,0,,,,,,,,,,,,
